Municipality,Administering Agency,Amount Allocated,Funding Source,Max $ Assistance per household (total),"Household Assistance Details (# of months, max per month, etc)",Area Median Income Elgibility,Program Timeline,Contact info,Link to application,Notes,Unnamed: 11,Residents 2020-10-24,Count 2020-10-24,Residents 2020-10-31,Count 2020-10-31,Residents 2020-11-07,Count 2020-11-07,Residents 2020-11-14,Count 2020-11-14,Residents 2020-11-21,Count 2020-11-21,Residents 2020-11-28,Count 2020-11-28,Residents 2020-12-05,Count 2020-12-05,Residents 2020-12-12,Count 2020-12-12,Residents 2020-12-19,Count 2020-12-19,Residents 2020-12-26,Count 2020-12-26,Residents 2021-01-02,Count 2021-01-02,Residents 2021-01-09,Count 2021-01-09,Residents 2021-01-16,Count 2021-01-16,Residents 2021-01-23,Count 2021-01-23,Residents 2021-01-30,Count 2021-01-30,Residents 2021-02-06,Count 2021-02-06,Residents 2021-02-13,Count 2021-02-13,Residents 2021-02-20,Count 2021-02-20,Residents 2021-02-27,Count 2021-02-27
Acton,Regional Housing Services Office (RHSO),"$55,000",CARES Act ,"$3,200","Up to 4 months of assistance, $ amount based on bedroom size of unit",Households up to 100% AMI,Not specified,"Laura Ducharme,  lducharme@actonma.gov ",https://www.rhsohousing.org/sites/g/files/vyhlif421/f/news/erap_application_packet_8july2020_0.pdf,,,,,,,,,,,,,4.0,1.0,4.0,1.0,4.0,1.0,,,9.0,2.0,,,,,,,,,,,,,,,,,,
Amesbury,The Pettengill House,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,http://pettengillhouse.org/aid4amesbury.aspx,,,6.0,1.0,,,,,24.0,4.0,6.0,1.0,,,,,,,6.0,1.0,6.0,1.0,,,,,,,,,6.0,1.0,,,,,,,,
Amherst,Community Action Pioneer Valley,"$250,000",Trust,"$3,300","Up to 3 months of assistance, $ amount based on 50% of rent up to a certain limit by bedroom size",Households up to 80% AMI,Until funds are depleted.,"Janna Tetreault, Assistant Director for Community Services at CAPV",https://www.communityaction.us/amherstrentalassistance ,"The trust initiated a second round of applications, this time on a first come first serve basis untill the funds run out. The first round was a lottery that ended in August. The Trust decided to remove the preferences that were in place for the first round. Assistance will be provided for up to 3 months and can be paid for arrears back to April 1, 2020 and for future rent. The maximum subsidy amount by bedroom size is 50% of the actual monthly rent up to the following maximum:",,,,,,,,2.0,1.0,,,2.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
Arlington,"Town or Arlington, Housing Corp or Arlington, MCO Housing","$400,000 CDBG-CV funds, $300,000 CPA (starting late summer/early fall, $115,000 in donations through Arlington Health and Human Services Charitable Corporation, and $100,000 through Housing Corporation of Arlington","CDBG-CV, CPA, regular CDBG, and donations","$6,000","Varies on funding source. CBDG-CV is up to three months of assistance, no more than $2,000 a month.",Households up to 50% AMI. Housing Corp of Arlington is housholds up to 60% AMI. Donations through Arlington Health and Human Services Charitable Corp. is less restrictive.,Through the fall.,"Erin Zwirko, Arlington Planning and Community Development, ezwirko@town.arlington.ma.us","https://www.arlingtonma.gov/departments/health-human-services/health-department/coronavirus-information/resources-and-assistance, https://ahhscc.org/arlington-covid-19-relief-fund/,https://www.housingcorparlington.org/homelessness-prevention/",,,,,,,,,4.0,2.0,4.0,2.0,,,,,,,,,2.0,1.0,2.0,1.0,,,2.0,1.0,2.0,1.0,,,,,2.0,1.0,,,4.0,2.0
Barnstable County,Housing Assistance Cape Cod (HAC),"$100,000",HOME,"$6,000",Not specified,Households up to 60% AMI,Launched fall 2020,"Renie Hamman, Barnstable County HOME Consortium",https://www.cognitoforms.com/HousingAssistanceCorporation/applicationforassistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnstable,Housing Assistance Cape Cod (HAC),"$300,000",Trust,"$4,000",Not specified,Households up to 80% AMI,Until money runs out,"Anne Van Vleck, Chief Development Officer, avanvleck@haconcapecod.org",https://haconcapecod.org/blog/workforce-housing-relief-fund-and-more-new-support/,,,,,4.0,2.0,,,,,2.0,1.0,,,,,,,2.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,
Belmont,MetroWest Collaborative Development,"$250,000",CPA,"$4,320",Benefit equals 50% of Fair Market Rent based on bedroom size for 3 months,"Households up to 80% AMI, preference to 60% AMI",Not specified,"Rachel Heller, heller.housingtrust@gmail.com
",https://www.belmont-ma.gov/sites/g/files/vyhlif2801/f/uploads/housing_trust_flyer_final_7-23-20_color.pdf,"The Town did a mailing to all landlords with contact information we got from the assessor's database. Belmont's Municipal Light Company sent the flyer out with bills. And, our Superintendent emailed information to all parents.",,,,,,,,,,4.0,1.0,,,,,4.0,1.0,,,,,,,,,4.0,1.0,,,,,,,,,,,4.0,1.0
Beverly,North Shore Community Action Program Inc. (NSCAP),"$240,000",CPA,"$3,600",Up to 3 months of assistance,Households up to 100% AMI,3 months,"Denise Deschamps, Economic Develop Planner, ddeschamps@beverlyma.gov ",,The CPC is planning for a three month program but plans to revisit the situation at the end of that three month period to determine if they would like to consider additional funding.,,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,2.0,1.0,7.0,3.0,2.0,1.0,2.0,1.0,,,,,2.0,1.0,2.0,1.0,,,2.0,1.0,,,,,,,,
Braintree,Metro Housing Boston,"$100,000",City funds allocated by Mayor,"$4,000",Not specified,Households up to 60% AMI,Ends August 2020,Not specified,https://braintreema.gov/CivicAlerts.aspx?AID=357,,,,,,,,,2.0,1.0,30.0,11.0,5.0,2.0,,,,,5.0,2.0,16.0,6.0,,,,,8.0,3.0,5.0,2.0,2.0,1.0,13.0,5.0,,,,,5.0,2.0
Brewster,Housing Assistance Cape Cod (HAC),"$75,000",Trust/CPA,"$6,000",Max assistance is per year,"Household up to 80% AMI, but 100% AMI for COVID relief.",Through 2021,"Jill Scalise, jscalise@brewster-ma.gov",https://haconcapecod.org/programs/homeless-prevention/,Brewster established a rental assistance program that will continue to operate after COVID crisis.,,,,,,,,,,,,,,,,,,10.0,1.0,,,,,,,10.0,1.0,,,20.0,2.0,,,,,,,,
